layer,position,log_prob_delta,ex_idx
38,o1_in_r1,0.0,0
38,s2_in_r1,0.0,0
38,o2_in_r1,0.0,0
38,s1_in_r2,0.0,0
38,o3_in_r2,0.0,0
38,s2_in_r2,0.0,0
38,o4_in_r2,0.0,0
38,s1_in_cue,0.0,0
38,o1_in_cue,0.0,0
38,s2_in_cue,0.0,0
38,analogy_site,0.0,0
39,s1_in_r1,0.0,0
39,o1_in_r1,0.0,0
39,s2_in_r1,0.0,0
39,o2_in_r1,0.0,0
39,s1_in_r2,0.0,0
39,o3_in_r2,0.0,0
39,s2_in_r2,0.0,0
39,o4_in_r2,0.0,0
39,s1_in_cue,0.0,0
39,o1_in_cue,0.0,0
39,s2_in_cue,0.0,0
39,analogy_site,0.0,0
40,s1_in_r1,0.0,0
40,o1_in_r1,0.0,0
40,s2_in_r1,0.0,0
40,o2_in_r1,0.0,0
40,s1_in_r2,0.0,0
40,o3_in_r2,0.0,0
40,s2_in_r2,0.0,0
40,o4_in_r2,0.0,0
40,s1_in_cue,0.0,0
40,o1_in_cue,0.0,0
40,s2_in_cue,0.0,0
40,analogy_site,0.0,0
41,s1_in_r1,0.0,0
41,o1_in_r1,0.0,0
41,s2_in_r1,0.0,0
41,o2_in_r1,0.0,0
41,s1_in_r2,0.0,0
41,o3_in_r2,0.0,0
41,s2_in_r2,0.0,0
41,o4_in_r2,0.0,0
41,s1_in_cue,0.0,0
41,o1_in_cue,0.0,0
41,s2_in_cue,0.0,0
41,analogy_site,0.0,0
42,s1_in_r1,0.0,0
42,o1_in_r1,0.0,0
42,s2_in_r1,0.0,0
42,o2_in_r1,0.0,0
42,s1_in_r2,0.0,0
42,o3_in_r2,0.0,0
42,s2_in_r2,0.0,0
42,o4_in_r2,0.0,0
42,s1_in_cue,0.0,0
42,o1_in_cue,0.0,0
42,s2_in_cue,0.0,0
42,analogy_site,0.0,0
43,s1_in_r1,0.0,0
43,o1_in_r1,0.0,0
43,s2_in_r1,0.0,0
43,o2_in_r1,0.0,0
43,s1_in_r2,0.0,0
43,o3_in_r2,0.0,0
43,s2_in_r2,0.0,0
43,o4_in_r2,0.0,0
43,s1_in_cue,0.0,0
43,o1_in_cue,0.0,0
43,s2_in_cue,0.0,0
43,analogy_site,0.0,0
44,s1_in_r1,0.0,0
44,o1_in_r1,0.0,0
44,s2_in_r1,0.0,0
44,o2_in_r1,0.0,0
44,s1_in_r2,0.0,0
44,o3_in_r2,0.0,0
44,s2_in_r2,0.0,0
44,o4_in_r2,0.0,0
44,s1_in_cue,0.0,0
44,o1_in_cue,0.0,0
44,s2_in_cue,0.0,0
44,analogy_site,0.0,0
45,s1_in_r1,0.0,0
45,o1_in_r1,0.0,0
45,s2_in_r1,0.0,0
45,o2_in_r1,0.0,0
45,s1_in_r2,0.0,0
45,o3_in_r2,0.0,0
45,s2_in_r2,0.0,0
45,o4_in_r2,0.0,0
45,s1_in_cue,0.0,0
45,o1_in_cue,0.0,0
45,s2_in_cue,0.0,0
45,analogy_site,0.0,0
46,s1_in_r1,0.0,0
46,o1_in_r1,0.0,0
46,s2_in_r1,0.0,0
46,o2_in_r1,0.0,0
46,s1_in_r2,0.0,0
46,o3_in_r2,0.0,0
46,s2_in_r2,0.0,0
46,o4_in_r2,0.0,0
46,s1_in_cue,0.0,0
46,o1_in_cue,0.0,0
46,s2_in_cue,0.0,0
46,analogy_site,0.0,0
47,s1_in_r1,0.0,0
47,o1_in_r1,0.0,0
47,s2_in_r1,0.0,0
47,o2_in_r1,0.0,0
47,s1_in_r2,0.0,0
47,o3_in_r2,0.0,0
47,s2_in_r2,0.0,0
47,o4_in_r2,0.0,0
47,s1_in_cue,0.0,0
47,o1_in_cue,0.0,0
47,s2_in_cue,0.0,0
47,analogy_site,0.0,0
48,s1_in_r1,0.0,0
48,o1_in_r1,0.0,0
48,s2_in_r1,0.0,0
48,o2_in_r1,0.0,0
48,s1_in_r2,0.0,0
48,o3_in_r2,0.0,0
48,s2_in_r2,0.0,0
48,o4_in_r2,0.0,0
48,s1_in_cue,0.0,0
48,o1_in_cue,0.0,0
48,s2_in_cue,0.0,0
48,analogy_site,0.0,0
49,s1_in_r1,0.0,0
49,o1_in_r1,0.0,0
49,s2_in_r1,0.0,0
49,o2_in_r1,0.0,0
49,s1_in_r2,0.0,0
49,o3_in_r2,0.0,0
49,s2_in_r2,0.0,0
49,o4_in_r2,0.0,0
49,s1_in_cue,0.0,0
49,o1_in_cue,0.0,0
49,s2_in_cue,0.0,0
49,analogy_site,0.0,0
50,s1_in_r1,0.0,0
50,o1_in_r1,0.0,0
50,s2_in_r1,0.0,0
50,o2_in_r1,0.0,0
50,s1_in_r2,0.0,0
50,o3_in_r2,0.0,0
50,s2_in_r2,0.0,0
50,o4_in_r2,0.0,0
50,s1_in_cue,0.0,0
50,o1_in_cue,0.0,0
50,s2_in_cue,0.0,0
50,analogy_site,0.0,0
51,s1_in_r1,0.0,0
51,o1_in_r1,0.0,0
51,s2_in_r1,0.0,0
51,o2_in_r1,0.0,0
51,s1_in_r2,0.0,0
51,o3_in_r2,0.0,0
51,s2_in_r2,0.0,0
51,o4_in_r2,0.0,0
51,s1_in_cue,0.0,0
51,o1_in_cue,0.0,0
51,s2_in_cue,0.0,0
51,analogy_site,0.0,0
52,s1_in_r1,0.0,0
52,o1_in_r1,0.0,0
52,s2_in_r1,0.0,0
52,o2_in_r1,0.0,0
52,s1_in_r2,0.0,0
52,o3_in_r2,0.0,0
52,s2_in_r2,0.0,0
52,o4_in_r2,0.0,0
52,s1_in_cue,0.0,0
52,o1_in_cue,0.0,0
52,s2_in_cue,0.0,0
52,analogy_site,0.0,0
53,s1_in_r1,0.0,0
53,o1_in_r1,0.0,0
53,s2_in_r1,0.0,0
53,o2_in_r1,0.0,0
53,s1_in_r2,0.0,0
53,o3_in_r2,0.0,0
53,s2_in_r2,0.0,0
53,o4_in_r2,0.0,0
53,s1_in_cue,0.0,0
53,o1_in_cue,0.0,0
53,s2_in_cue,0.0,0
53,analogy_site,0.0,0
54,s1_in_r1,0.0,0
54,o1_in_r1,0.0,0
54,s2_in_r1,0.0,0
54,o2_in_r1,0.0,0
54,s1_in_r2,0.0,0
54,o3_in_r2,0.0,0
54,s2_in_r2,0.0,0
54,o4_in_r2,0.0,0
54,s1_in_cue,0.0,0
54,o1_in_cue,0.0,0
54,s2_in_cue,0.0,0
54,analogy_site,0.0,0
55,s1_in_r1,0.0,0
55,o1_in_r1,0.0,0
55,s2_in_r1,0.0,0
55,o2_in_r1,0.0,0
55,s1_in_r2,0.0,0
55,o3_in_r2,0.0,0
55,s2_in_r2,0.0,0
55,o4_in_r2,0.0,0
55,s1_in_cue,0.0,0
55,o1_in_cue,0.0,0
55,s2_in_cue,0.0,0
55,analogy_site,0.0,0
56,s1_in_r1,0.0,0
56,o1_in_r1,0.0,0
56,s2_in_r1,0.0,0
56,o2_in_r1,0.0,0
56,s1_in_r2,0.0,0
56,o3_in_r2,0.0,0
56,s2_in_r2,0.0,0
56,o4_in_r2,0.0,0
56,s1_in_cue,0.0,0
56,o1_in_cue,0.0,0
56,s2_in_cue,0.0,0
56,analogy_site,0.0,0
57,s1_in_r1,0.0,0
57,o1_in_r1,0.0,0
57,s2_in_r1,0.0,0
57,o2_in_r1,0.0,0
57,s1_in_r2,0.0,0
57,o3_in_r2,0.0,0
57,s2_in_r2,0.0,0
57,o4_in_r2,0.0,0
57,s1_in_cue,0.0,0
57,o1_in_cue,0.0,0
57,s2_in_cue,0.0,0
57,analogy_site,0.0,0
58,s1_in_r1,0.0,0
58,o1_in_r1,0.0,0
58,s2_in_r1,0.0,0
58,o2_in_r1,0.0,0
58,s1_in_r2,0.0,0
58,o3_in_r2,0.0,0
58,s2_in_r2,0.0,0
58,o4_in_r2,0.0,0
58,s1_in_cue,0.0,0
58,o1_in_cue,0.0,0
58,s2_in_cue,0.0,0
58,analogy_site,0.0,0
59,s1_in_r1,0.0,0
59,o1_in_r1,0.0,0
59,s2_in_r1,0.0,0
59,o2_in_r1,0.0,0
59,s1_in_r2,0.0,0
59,o3_in_r2,0.0,0
59,s2_in_r2,0.0,0
59,o4_in_r2,0.0,0
59,s1_in_cue,0.0,0
59,o1_in_cue,0.0,0
59,s2_in_cue,0.0,0
59,analogy_site,0.0,0
60,s1_in_r1,0.0,0
60,o1_in_r1,0.0,0
60,s2_in_r1,0.0,0
60,o2_in_r1,0.0,0
60,s1_in_r2,0.0,0
60,o3_in_r2,0.0,0
60,s2_in_r2,0.0,0
60,o4_in_r2,0.0,0
60,s1_in_cue,0.0,0
60,o1_in_cue,0.0,0
60,s2_in_cue,0.0,0
60,analogy_site,0.0,0
61,s1_in_r1,0.0,0
61,o1_in_r1,0.0,0
61,s2_in_r1,0.0,0
61,o2_in_r1,0.0,0
61,s1_in_r2,0.0,0
61,o3_in_r2,0.0,0
61,s2_in_r2,0.0,0
61,o4_in_r2,0.0,0
61,s1_in_cue,0.0,0
61,o1_in_cue,0.0,0
61,s2_in_cue,0.0,0
61,analogy_site,0.0,0
62,s1_in_r1,0.0,0
62,o1_in_r1,0.0,0
62,s2_in_r1,0.0,0
62,o2_in_r1,0.0,0
62,s1_in_r2,0.0,0
62,o3_in_r2,0.0,0
62,s2_in_r2,0.0,0
62,o4_in_r2,0.0,0
62,s1_in_cue,0.0,0
62,o1_in_cue,0.0,0
62,s2_in_cue,0.0,0
62,analogy_site,0.0,0
63,s1_in_r1,0.0,0
63,o1_in_r1,0.0,0
63,s2_in_r1,0.0,0
63,o2_in_r1,0.0,0
